env_type,env_id,device_did,owner_user_id,owner_user_did,collision,re_register,ok
docker,70108f13cea615f2cb081382f41c462cc9e24db962fd6e20a86231b694ea6582,didsm9:70108f13cea615f2cb081382f41c462cc9e24db962fd6e20a86231b694ea6582@user1:c1ff30c04005132430371be11d63d0f288a79a3e404fa85b9688cdb3da0936ea,user1,didsm9:user1:5a9c5d3bb53a4ce891b1923cd46f407d061dbcdb46b600041e2746ffaae727cd,0,1,1
docker,f4dc7ac3cbacdc8eced3ccc33216c898cf320a319e374cdae7d972ea23c52128,didsm9:f4dc7ac3cbacdc8eced3ccc33216c898cf320a319e374cdae7d972ea23c52128@user1:5008b22a8bfdb70110c36b99ce175407cb7a65aaa943526a9e84205c5fa5ccab,user1,didsm9:user1:5a9c5d3bb53a4ce891b1923cd46f407d061dbcdb46b600041e2746ffaae727cd,0,1,1
docker,0e0c991b31a9b9d8574488fe667d3493f6670d36ba5530988710dbacbb229b8e,didsm9:0e0c991b31a9b9d8574488fe667d3493f6670d36ba5530988710dbacbb229b8e@user1:855a6b5899b4e06942482bfa86cb189b2eb0e574c05ee024440b07a794371ae8,user1,didsm9:user1:5a9c5d3bb53a4ce891b1923cd46f407d061dbcdb46b600041e2746ffaae727cd,0,1,1
docker,48b72562e06989457313f77f61bf00a1fc29dc005d22ae738c5783119d18ca2e,didsm9:48b72562e06989457313f77f61bf00a1fc29dc005d22ae738c5783119d18ca2e@user1:885c419330d6b4f254b155900970824a780d5dcc29799a0dc005a12452dd8af5,user1,didsm9:user1:5a9c5d3bb53a4ce891b1923cd46f407d061dbcdb46b600041e2746ffaae727cd,0,1,1
docker,4cb8cce00e652861d6cda30ca9e27545dfe46b084b4b105a22493ce51caf6e23,didsm9:4cb8cce00e652861d6cda30ca9e27545dfe46b084b4b105a22493ce51caf6e23@user1:775bd969642b37b9cd14e640582c4ffdbaadfd921b63b3a505bfd7fa2045495c,user1,didsm9:user1:5a9c5d3bb53a4ce891b1923cd46f407d061dbcdb46b600041e2746ffaae727cd,0,1,1
docker,5ab73643dd3a05495aa4d63ebc9ef5529ac802cf8629d6d4c025cb57e9a26588,didsm9:5ab73643dd3a05495aa4d63ebc9ef5529ac802cf8629d6d4c025cb57e9a26588@user1:af75e32f39995ebf37763bbcb2124fe8ccccb10839f3fdfa8106a4d2f1c88889,user1,didsm9:user1:5a9c5d3bb53a4ce891b1923cd46f407d061dbcdb46b600041e2746ffaae727cd,0,1,1
docker,c520d898203075683110086a999c84f2b07ff054329b2e58ad37e9a60def99df,didsm9:c520d898203075683110086a999c84f2b07ff054329b2e58ad37e9a60def99df@user1:6b61f24e9becefd1283a2f3a22010f8a4f5f0a18d02eff3281312a8c80a48846,user1,didsm9:user1:5a9c5d3bb53a4ce891b1923cd46f407d061dbcdb46b600041e2746ffaae727cd,0,1,1
docker,94d749fa18bcb141b7ae059076fae4bd737c9771a8b50f3861180b6b3cb0e2f4,didsm9:94d749fa18bcb141b7ae059076fae4bd737c9771a8b50f3861180b6b3cb0e2f4@user1:a49f6353a86054e942f7a6d0d92b50658fe2cf19dca5adccdbca49104764a9d9,user1,didsm9:user1:5a9c5d3bb53a4ce891b1923cd46f407d061dbcdb46b600041e2746ffaae727cd,0,1,1
docker,c6cff03795cff077d88baa1173e1c5be03828c1bffe99ae7ec16994df4636dd8,didsm9:c6cff03795cff077d88baa1173e1c5be03828c1bffe99ae7ec16994df4636dd8@user1:4ffba1e40943a41c486158d735b5f6df183268fb5ff2a6a514343e4c4a08496c,user1,didsm9:user1:5a9c5d3bb53a4ce891b1923cd46f407d061dbcdb46b600041e2746ffaae727cd,0,1,1
docker,7cb8b3b23923e8320c7d9333e4db6d0083af1fb96d8510bc12820faadf824e26,didsm9:7cb8b3b23923e8320c7d9333e4db6d0083af1fb96d8510bc12820faadf824e26@user1:062059aa0ee095206020aa1f794fe21b9df4ef98bdd6528cda428c53ac9f52fb,user1,didsm9:user1:5a9c5d3bb53a4ce891b1923cd46f407d061dbcdb46b600041e2746ffaae727cd,0,1,1
