case_type,result,verify_authorize_ms,verify_st_ms,challenge_ms,total_ms
replay,block,0.00000000,0.00000000,0.00000000,315.00125800
replay,block,0.00000000,0.00000000,0.00000000,316.00385900
replay,block,0.00000000,0.00000000,0.00000000,317.12768600
replay,block,0.00000000,0.00000000,0.00000000,317.63104800
replay,block,0.00000000,0.00000000,0.00000000,317.79312000
replay,block,0.00000000,0.00000000,0.00000000,318.41187500
forged_auth,block,0.00000000,0.00000000,0.00000000,321.39296500
forged_auth,block,0.00000000,0.00000000,0.00000000,320.21549600
forged_auth,block,0.00000000,0.00000000,0.00000000,320.40398400
forged_auth,block,0.00000000,0.00000000,0.00000000,325.67844000
forged_auth,block,0.00000000,0.00000000,0.00000000,321.92982200
forged_auth,block,0.00000000,0.00000000,0.00000000,316.81432600
forged_auth,block,0.00000000,0.00000000,0.00000000,320.73602800
forged_auth,block,0.00000000,0.00000000,0.00000000,321.74583200
forged_auth,block,0.00000000,0.00000000,0.00000000,321.09812900
forged_auth,block,0.00000000,0.00000000,0.00000000,319.54669100
forged_auth,block,0.00000000,0.00000000,0.00000000,321.66099600
forged_auth,block,0.00000000,0.00000000,0.00000000,321.57897900
forged_auth,block,0.00000000,0.00000000,0.00000000,314.92608701
forged_auth,block,0.00000000,0.00000000,0.00000000,316.72143000
forged_auth,block,0.00000000,0.00000000,0.00000000,318.00725000
forged_auth,block,0.00000000,0.00000000,0.00000000,318.52730400
forged_auth,block,0.00000000,0.00000000,0.00000000,321.24542900
forged_auth,block,0.00000000,0.00000000,0.00000000,320.12779400
forged_auth,block,0.00000000,0.00000000,0.00000000,321.33094600
forged_auth,block,0.00000000,0.00000000,0.00000000,320.68082600
forged_auth,block,0.00000000,0.00000000,0.00000000,321.65172100
forged_auth,block,0.00000000,0.00000000,0.00000000,322.56987400
forged_auth,block,0.00000000,0.00000000,0.00000000,319.83319800
forged_auth,block,0.00000000,0.00000000,0.00000000,323.16113200
forged_auth,block,0.00000000,0.00000000,0.00000000,316.99612000
forged_auth,block,0.00000000,0.00000000,0.00000000,323.09096700
forged_auth,block,0.00000000,0.00000000,0.00000000,321.71918400
forged_auth,block,0.00000000,0.00000000,0.00000000,322.09108100
forged_auth,block,0.00000000,0.00000000,0.00000000,318.51735800
forged_auth,block,0.00000000,0.00000000,0.00000000,315.66489900
forged_auth,block,0.00000000,0.00000000,0.00000000,315.21906900
forged_auth,block,0.00000000,0.00000000,0.00000000,316.82313800
forged_auth,block,0.00000000,0.00000000,0.00000000,321.09558700
forged_auth,block,0.00000000,0.00000000,0.00000000,318.78169500
forged_auth,block,0.00000000,0.00000000,0.00000000,318.48704301
forged_auth,block,0.00000000,0.00000000,0.00000000,321.17404600
forged_auth,block,0.00000000,0.00000000,0.00000000,315.15222800
forged_auth,block,0.00000000,0.00000000,0.00000000,318.29616100
forged_auth,block,0.00000000,0.00000000,0.00000000,317.52083900
forged_auth,block,0.00000000,0.00000000,0.00000000,318.69966700
forged_auth,block,0.00000000,0.00000000,0.00000000,321.02673899
forged_auth,block,0.00000000,0.00000000,0.00000000,321.60418500
forged_auth,block,0.00000000,0.00000000,0.00000000,328.61380300
forged_auth,block,0.00000000,0.00000000,0.00000000,322.22168600
forged_auth,block,0.00000000,0.00000000,0.00000000,324.28430900
forged_auth,block,0.00000000,0.00000000,0.00000000,317.87304900
forged_auth,block,0.00000000,0.00000000,0.00000000,314.00447799
forged_auth,block,0.00000000,0.00000000,0.00000000,349.38166000
forged_auth,block,0.00000000,0.00000000,0.00000000,314.57283800
forged_auth,block,0.00000000,0.00000000,0.00000000,314.21009500
forged_auth,block,0.00000000,0.00000000,0.00000000,316.52350500
forged_auth,block,0.00000000,0.00000000,0.00000000,317.91653400
forged_auth,block,0.00000000,0.00000000,0.00000000,324.39287299
forged_auth,block,0.00000000,0.00000000,0.00000000,317.10177300
forged_auth,block,0.00000000,0.00000000,0.00000000,319.60599000
forged_auth,block,0.00000000,0.00000000,0.00000000,316.25064500
forged_auth,block,0.00000000,0.00000000,0.00000000,316.21563300
forged_auth,block,0.00000000,0.00000000,0.00000000,316.01155300
forged_auth,block,0.00000000,0.00000000,0.00000000,319.83310900
forged_auth,block,0.00000000,0.00000000,0.00000000,321.32152800
forged_auth,block,0.00000000,0.00000000,0.00000000,324.00802900
forged_auth,block,0.00000000,0.00000000,0.00000000,324.99517100
forged_auth,block,0.00000000,0.00000000,0.00000000,319.57553800
forged_auth,block,0.00000000,0.00000000,0.00000000,320.10678401
forged_auth,block,0.00000000,0.00000000,0.00000000,318.51866400
forged_auth,block,0.00000000,0.00000000,0.00000000,320.43389000
forged_auth,block,0.00000000,0.00000000,0.00000000,319.18837701
forged_auth,block,0.00000000,0.00000000,0.00000000,323.13360600
forged_auth,block,0.00000000,0.00000000,0.00000000,325.62340600
forged_auth,block,0.00000000,0.00000000,0.00000000,323.49441800
forged_auth,block,0.00000000,0.00000000,0.00000000,329.92240000
forged_auth,block,0.00000000,0.00000000,0.00000000,336.30479000
forged_auth,block,0.00000000,0.00000000,0.00000000,324.98758000
forged_auth,block,0.00000000,0.00000000,0.00000000,319.14132000
forged_auth,block,0.00000000,0.00000000,0.00000000,318.54116100
forged_auth,block,0.00000000,0.00000000,0.00000000,319.41938100
forged_auth,block,0.00000000,0.00000000,0.00000000,314.14617700
forged_auth,block,0.00000000,0.00000000,0.00000000,317.00730000
forged_auth,block,0.00000000,0.00000000,0.00000000,323.07640800
forged_auth,block,0.00000000,0.00000000,0.00000000,316.02185400
forged_auth,block,0.00000000,0.00000000,0.00000000,321.41642200
forged_auth,block,0.00000000,0.00000000,0.00000000,316.44710000
forged_auth,block,0.00000000,0.00000000,0.00000000,318.49515500
forged_auth,block,0.00000000,0.00000000,0.00000000,324.88643900
forged_auth,block,0.00000000,0.00000000,0.00000000,320.03288800
forged_auth,block,0.00000000,0.00000000,0.00000000,324.19167900
forged_auth,block,0.00000000,0.00000000,0.00000000,324.53160300
forged_auth,block,0.00000000,0.00000000,0.00000000,323.77791500
forged_auth,block,0.00000000,0.00000000,0.00000000,319.07963300
forged_auth,block,0.00000000,0.00000000,0.00000000,322.71209800
forged_auth,block,0.00000000,0.00000000,0.00000000,320.71319200
forged_auth,block,0.00000000,0.00000000,0.00000000,318.15775300
forged_auth,block,0.00000000,0.00000000,0.00000000,317.03478999
forged_auth,block,0.00000000,0.00000000,0.00000000,320.75957100
forged_auth,block,0.00000000,0.00000000,0.00000000,323.25118100
forged_auth,block,0.00000000,0.00000000,0.00000000,324.58108200
forged_auth,block,0.00000000,0.00000000,0.00000000,319.80665300
forged_auth,block,0.00000000,0.00000000,0.00000000,324.53370000
forged_auth,block,0.00000000,0.00000000,0.00000000,325.39121200
forged_auth,block,0.00000000,0.00000000,0.00000000,322.88545500
tampered_st,block,0.00000000,0.00000000,0.00000000,488.32921400
tampered_st,block,0.00000000,0.00000000,0.00000000,484.27111300
tampered_st,block,0.00000000,0.00000000,0.00000000,486.81510900
tampered_st,block,0.00000000,0.00000000,0.00000000,488.68545900
tampered_st,block,0.00000000,0.00000000,0.00000000,487.93749900
tampered_st,block,0.00000000,0.00000000,0.00000000,491.52933800
tampered_st,block,0.00000000,0.00000000,0.00000000,478.48913300
tampered_st,block,0.00000000,0.00000000,0.00000000,477.09200700
tampered_st,block,0.00000000,0.00000000,0.00000000,475.47817601
tampered_st,block,0.00000000,0.00000000,0.00000000,477.20742600
tampered_st,block,0.00000000,0.00000000,0.00000000,479.05005200
tampered_st,block,0.00000000,0.00000000,0.00000000,483.60882400
tampered_st,block,0.00000000,0.00000000,0.00000000,494.28459000
tampered_st,block,0.00000000,0.00000000,0.00000000,479.51150699
tampered_st,block,0.00000000,0.00000000,0.00000000,473.64253100
tampered_st,block,0.00000000,0.00000000,0.00000000,477.39706500
tampered_st,block,0.00000000,0.00000000,0.00000000,477.88047601
tampered_st,block,0.00000000,0.00000000,0.00000000,485.91426900
tampered_st,block,0.00000000,0.00000000,0.00000000,480.18235900
tampered_st,block,0.00000000,0.00000000,0.00000000,481.76634500
tampered_st,block,0.00000000,0.00000000,0.00000000,487.78008100
tampered_st,block,0.00000000,0.00000000,0.00000000,490.24783100
tampered_st,block,0.00000000,0.00000000,0.00000000,476.50013600
tampered_st,block,0.00000000,0.00000000,0.00000000,481.45136200
tampered_st,block,0.00000000,0.00000000,0.00000000,492.08810501
tampered_st,block,0.00000000,0.00000000,0.00000000,499.78970800
tampered_st,block,0.00000000,0.00000000,0.00000000,482.06116300
tampered_st,block,0.00000000,0.00000000,0.00000000,484.86654400
tampered_st,block,0.00000000,0.00000000,0.00000000,476.17965400
tampered_st,block,0.00000000,0.00000000,0.00000000,481.57066300
tampered_st,block,0.00000000,0.00000000,0.00000000,478.27673701
tampered_st,block,0.00000000,0.00000000,0.00000000,479.16541000
tampered_st,block,0.00000000,0.00000000,0.00000000,477.81222000
tampered_st,block,0.00000000,0.00000000,0.00000000,480.78145800
tampered_st,block,0.00000000,0.00000000,0.00000000,481.63696900
tampered_st,block,0.00000000,0.00000000,0.00000000,485.62749301
tampered_st,block,0.00000000,0.00000000,0.00000000,486.74205100
tampered_st,block,0.00000000,0.00000000,0.00000000,486.98283200
tampered_st,block,0.00000000,0.00000000,0.00000000,495.85450201
tampered_st,block,0.00000000,0.00000000,0.00000000,501.19629400
tampered_st,block,0.00000000,0.00000000,0.00000000,496.24515499
tampered_st,block,0.00000000,0.00000000,0.00000000,487.14232800
tampered_st,block,0.00000000,0.00000000,0.00000000,487.53088100
tampered_st,block,0.00000000,0.00000000,0.00000000,489.94641300
tampered_st,block,0.00000000,0.00000000,0.00000000,486.74099800
tampered_st,block,0.00000000,0.00000000,0.00000000,481.29217100
tampered_st,block,0.00000000,0.00000000,0.00000000,484.41522500
tampered_st,block,0.00000000,0.00000000,0.00000000,493.37316700
tampered_st,block,0.00000000,0.00000000,0.00000000,484.45719900
tampered_st,block,0.00000000,0.00000000,0.00000000,478.00285800
tampered_st,block,0.00000000,0.00000000,0.00000000,487.53933601
tampered_st,block,0.00000000,0.00000000,0.00000000,485.64494000
tampered_st,block,0.00000000,0.00000000,0.00000000,484.16551101
tampered_st,block,0.00000000,0.00000000,0.00000000,486.24367901
tampered_st,block,0.00000000,0.00000000,0.00000000,484.42177300
tampered_st,block,0.00000000,0.00000000,0.00000000,499.96401900
tampered_st,block,0.00000000,0.00000000,0.00000000,485.06783300
tampered_st,block,0.00000000,0.00000000,0.00000000,485.85111100
tampered_st,block,0.00000000,0.00000000,0.00000000,484.02206700
tampered_st,block,0.00000000,0.00000000,0.00000000,486.06763700
tampered_st,block,0.00000000,0.00000000,0.00000000,481.98168700
